ГУИД;Наименование
7b30f656-aa9d-11ec-bb90-00155d638b03;Абхазия
cabce14b-aa6c-11ec-bb90-00155d638b03;Азербайджан
38b7f437-aa6e-11ec-bb90-00155d638b03;Казахстан
e8cc8af8-aa6c-11ec-bb90-00155d638b03;Кочевники
c4566ae7-aa6c-11ec-bb90-00155d638b03;Россия
e240d743-aa77-11ec-bb90-00155d638b03;Адыгея республика
29866b4a-aa70-11ec-bb90-00155d638b03;Астраханская область
2b6bd71f-aa90-11ec-bb90-00155d638b03;Белгородская область
e0db74af-36ff-11ec-bbba-00155d2c2007;Волгоградская область
e735de03-aa97-11ec-bb90-00155d638b03;Воронежская область
1625bbef-aa70-11ec-bb90-00155d638b03;Дагестан Республика
8b52fb67-12bd-11ec-bbba-00155d2c2007;Ингушетия Республика
e0db74b1-36ff-11ec-bbba-00155d2c2007;Кабардино-Балкарская республика
a3cbfca4-aa90-11ec-bb90-00155d638b03;Калининградская область
74a93a42-aa90-11ec-bb90-00155d638b03;Калмыкия республика
225ad6c1-aa6e-11ec-bb90-00155d638b03;Карачаево-Черкесская республика
1425c3fc-aa95-11ec-bb90-00155d638b03;Кемеровская область
3a24cec7-3fba-11ec-bbba-00155d2c2007;Краснодарский край
9ba5dbc2-aa6e-11ec-bb90-00155d638b03;Крым Республика
121b360f-aa90-11ec-bb90-00155d638b03;Курская область
76bf3499-aa77-11ec-bb90-00155d638b03;Ленинградская область
bde69b2f-aa74-11ec-bb90-00155d638b03;Липецкая область
2a0a49e9-aa6f-11ec-bb90-00155d638b03;Московская область
a4d87a07-aa77-11ec-bb90-00155d638b03;Новгородская область
0ace6c05-aa9d-11ec-bb90-00155d638b03;Новосибирская область
e6b6f638-aaa7-11ec-bb90-00155d638b03;Пензенская область
1c7e10cc-aa93-11ec-bb90-00155d638b03;Псковская область
f0bb17f0-aa6c-11ec-bb90-00155d638b03;Ростовская область
a29b0876-aa78-11ec-bb90-00155d638b03;Самарская область
b2ac56e0-ab3a-11ec-bb90-00155d638b03;Саратовская область
f00bac6c-aaa7-11ec-bb90-00155d638b03;Сахалинская область
2b670e77-aa93-11ec-bb90-00155d638b03;Свердловская область
8b52fb68-12bd-11ec-bbba-00155d2c2007;Северная Осетия Республика
e0db74b0-36ff-11ec-bbba-00155d2c2007;Ставропольский край
5f06ba6f-aa6e-11ec-bb90-00155d638b03;Татарстан Республика
0ce24546-aa91-11ec-bb90-00155d638b03;Тюменская область
24c6112f-aa78-11ec-bb90-00155d638b03;Хабаровский край
00fa3d73-aa70-11ec-bb90-00155d638b03;Ханты-Мансийский АО
e0db74ae-36ff-11ec-bbba-00155d2c2007;Чеченская Республика
b9e1f4f8-aa6c-11ec-bb90-00155d638b03;Южная Осетия Республика
55e78afe-aa7b-11ec-bb90-00155d638b03;Якутия/Саха республика
2a1736f4-84ed-11ec-bbbb-00155d2c2007;Грозный
018fc466-aa6c-11ec-bb90-00155d638b03;Георгиевск
0a57fee7-df20-11ec-bb90-00155d638b03;Ессентуки
f6c09797-aa6b-11ec-bb90-00155d638b03;Невинномысск
71e2b0ad-a80f-11ec-bbbb-00155d2c2007;Пятигорск
0ba267aa-aa6c-11ec-bb90-00155d638b03;Армавир
